time,H_max,H_min,Q_in,Q_release,V_max,V_min,V_storage
2013-01-01 01:00:00,0.460000,0.440000,0.000000,0.000000,420860.554886,382552.000845,399999.999993
2013-01-02 01:00:00,0.460000,0.440000,0.600000,0.653138,420860.554886,382552.000845,395408.892875
2013-01-03 01:00:00,0.460000,0.440000,0.950000,1.037538,420860.554886,382552.000845,387845.567935
2013-01-04 01:00:00,0.460000,0.440000,1.200000,1.320675,420860.554886,382552.000845,377419.220088
2013-01-05 01:00:00,0.460000,0.440000,1.400000,1.542642,420860.554886,382552.000845,365094.989387
2013-01-06 01:00:00,0.460000,0.440000,1.560000,1.145812,420860.554886,382552.000845,400880.860056
2013-01-07 01:00:00,0.460000,0.440000,1.690000,1.677648,420860.554886,382552.000845,401948.033538
2013-01-08 01:00:00,0.460000,0.440000,1.810000,1.809229,420860.554886,382552.000845,402014.610923
2013-01-09 01:00:00,0.460000,0.440000,1.910000,1.909711,420860.554886,382552.000845,402039.552870
2013-01-10 01:00:00,0.460000,0.440000,2.000000,1.999725,420860.554886,382552.000845,402063.290923
2013-01-11 01:00:00,0.460000,0.440000,2.080000,2.076843,420860.554886,382552.000845,402336.061857
2013-01-12 01:00:00,0.460000,0.440000,2.160000,1.945349,420860.554886,382552.000845,420881.916357
